Ticker;Value;Bazin Profit;Graham Profit
BPAN4;6,75;-0,4093240164609053;0,19686834161510602
FESA4;8,1;0,5473204183813445;0,5421601367942135
WHRL4;4,25;0,6026666666666667;-0,12530380953982867
JBSS3;38,44;-0,13024338073765762;0,02559049054732032
BRIT3;3,06;-0,9391230936819173;0,472384523853153
VITT3;5,03;-0,05475342390103821;0,25726862726636934
FLRY3;13,13;0,03526975543708222;0,1944293132213526
LREN3;13,66;-0,20763868553766063;0,17643515601385173
GMAT3;6,82;-1;0,10409680920919051
SMFT3;18,55;-1;-0,04960547222243661
PGMN3;3,09;-1;0,7383792695159528
OFSA3;20,31;-0,5560826303408284;0,11596959556034725
UNIP3;49,5;2,3658472648709314;-0,09238604825650187
ENMT3;74,26;-0,059203605200945586;-0,3468644583124252
IRBR3;39,5;-1;1,2970424335819342
IGTI3;2,22;-0,7185811561561561;0,9814700403534029
B3SA3;10,22;0,04291224722765841;-0,23862745502879035
YDUQ3;8,35;-0,42059717232202254;0,5002635216188729
AZZA3;30,97;-0,2776909428479172;0,5153819210884614
TFCO4;9,16;-0,7675944262493936;-0,8757183452335572
JALL3;4,83;0,0516701518288476;0,5890791798851456
UNIP5;51,69;2,264118405666259;-0,13083980245108995
UNIP6;49,24;2,7208540256340825;-0,08759361065590665
ASAI3;5,75;-0,6884475942028985;0,08638941727795513
RANI3;6,98;0,4698115568290351;0,11962544478413584
KLBN4;4,59;-0,21830364318566942;-0,24439808360793358
BLAU3;13,66;-0,38173204001952166;0,21077789900405453
AURE3;9,11;0,8904732284424932;0,49701391250011295
KLBN11;23,08;-0,22270327363758902;-0,2450479468821607
CXSE3;15,66;-0,324694384135093;-0,3071593363975048
CCRO3;10,63;-0,6134574579282952;0,019338328928408588
PNVL3;9,21;-0,6089289600675595;0,2062566998985511
ALOS3;19,06;-0,6706042322490381;0,49752964626738216
KLBN3;4,77;-0,24780320288842306;-0,27291136347178513
BRFS3;27,79;-1;-0,2549947706968996
PTNT3;8,15;-0,49990102249488755;0,2682170245340807
ENMT4;84,9;-0,394195833006151;-0,42871795847209304
STBP3;13;-0,45958448290598297;-0,44174829116768377
TASA4;9;0,8641883580246916;0,2764098958493788
VTRU3;6,82;-1;1,1076762696942621
PORT3;16,38;-0,46726834893501557;-0,26652981995757175
IGTI11;18,39;-0,7863162920669446;-0,28240399843645125
TASA3;9,31;0,8021154075665355;0,23390859963957134
DESK3;11,58;-0,9837542794089427;0,2496408783705133
ABEV3;13,22;-0,08690536224575551;-0,1598725724398532
VIVT3;49,42;-0,035769321911956475;0,12002974275827638
BPAC3;15,39;-0,779799097538084;-0,3218517176538145
EMBR3;55,44;-1;-0,23024725348059927
GGPS3;15,07;-0,8354659736046597;-0,2898715733880437
FESA3;12,99;-0,10225296381832205;-0,03837589622531734
BAUH4;78,79;-0,9147290265262089;-0,3690572670023028
DXCO3;6,49;1,113887553501113;0,3278115156073669
GUAR3;6,5;-0,47820512820512817;0,5380210907980572
EQTL3;29,43;-0,6772001359157322;-0,02472263708579059
RDOR3;26,82;-0,5371941130168199;-0,2662733793912958
NINJ3;4,65;-1;0,24943275370680906
BSLI3;7,95;0,10515152341020273;0,18583066886571098
LUXM4;12,59;1,6025796487512136;-0,22204629096943074
FRAS3;21,28;-0,7062742794486215;-0,3305352433121139
BSLI4;8,46;0,14238408852114515;0,11434442287026014
MGLU3;8,2;-0,8950271002710026;0,5826078260995078
USIM6;13,74;-0,16915655830502974;0,2867238489949566
SRNA3;6,33;-1;0,2791380518016948
BRAV3;20,14;-1;0,2214339561055545
SUZB3;62,42;-0,6179885293175265;-0,20807399063947385
LPSB3;1,48;-0,6386373873873874;0,12860088435743688
AFLT3;7;0,1476144761904763;-0,19501552810007572
JPSA3;0;NaN;NaN
LVTC3;2,48;-1;1,1927384504474672
LIPR3;0;NaN;NaN
SLCE3;19,17;-0,022944876253405244;-0,21075699018303384
SEER3;5,39;-0,6592460420531849;0,41240277868844344
ORVR3;41,26;-1;-0,5090281480459216
PEAB3;41,1;0,8015680346039469;0,0697895234019763
RENT3;32,23;-0,43231206605302164;-0,10836388347541681
TIMS3;15,27;-0,30142397220403105;0,16906604978740236
PEAB4;45,13;0,8047616823005144;-0,025740097234185133
MOAR3;395,54;-0,14703621575005743;-0,4665177522270133
TEND3;12,48;-0,9208747329059829;-0,2326777732965145
TOTS3;29,17;-0,798118310288348;-0,5217191793834448
ENEV3;11,49;-1;-0,08243950961850766
ONCO3;2,8;-1;0,872932533624798
GEPA3;28,52;0,42511614266791353;0,297636403191756
GEPA4;31,66;0,28377487014810154;0,16893841500407092
ELMD3;28,7;-1;-0,6091305101403157
RAIZ4;2,45;0,0275977324263037;-0,2576925110419097
RADL3;23,6;-0,8312913935969868;-0,6895662247076091
WEGE3;57,66;-0,8503221094924268;-0,7852419009618583
CEGR3;56,01;-0,5741659227518894;-0,7134765672805579
MNPR3;21,84;-1;-1
LAND3;13,6;-0,3629961478758169;-0,492551159958449
FRIO3;154,98;-1;-0,6067720165568812
MRFG3;16,64;0,7033755108173076;-0,6415930680830045
MNDL3;16,48;-1;-0,5279785311939126
LWSA3;3,53;-0,9174987566887001;-0,5884543904996062
PRNR3;13,4;-0,8540584577114427;-0,8117538237948247
PETZ3;3,9;-0,8920907264957265;-0,7669979810636776
CRFB3;5,86;-0,11815529958285931;-0,751693290523322
BIED3;0;NaN;NaN
BEEF3;5,73;1,124401502811712;-1
